step,tasks_completed_total,total_movement_cost,deadlock_count,last_step_cpu_ms,total_cpu_ms,last_planning_ms,total_planning_ms,algo_nodes_expanded_last,algo_heap_moves_last,algo_generated_nodes_last,algo_valid_expansions_last,requests_created_total,request_wait_ticks_sum
1,0,3.000000,0,21.000000,21.000000,21.000000,21.000000,31,107,75,31,0,0
2,0,6.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
3,0,8.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
4,0,9.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
5,0,10.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
6,0,12.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
7,0,14.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
8,0,15.000000,0,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
9,0,15.000000,1,0.000000,21.000000,0.000000,21.000000,0,0,0,0,0,0
10,0,15.000000,2,1.000000,22.000000,1.000000,22.000000,0,0,0,0,0,0
11,0,16.000000,2,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
12,0,16.000000,3,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
13,0,16.000000,4,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
14,0,16.000000,5,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
15,0,16.000000,6,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
16,1,16.000000,7,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
17,2,17.000000,7,0.000000,22.000000,0.000000,22.000000,8,21,17,8,0,0
18,2,18.000000,7,0.000000,22.000000,0.000000,22.000000,10,33,22,10,0,0
19,2,18.000000,8,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
20,2,19.000000,8,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
21,3,21.000000,8,0.000000,22.000000,0.000000,22.000000,0,0,0,0,0,0
22,3,24.000000,8,0.000000,22.000000,0.000000,22.000000,19,52,38,19,0,0
23,3,27.000000,8,6.000000,28.000000,6.000000,28.000000,8,24,22,8,0,0
24,3,29.000000,8,0.000000,28.000000,0.000000,28.000000,0,0,0,0,0,0
25,3,31.000000,8,6.000000,34.000000,6.000000,34.000000,8,25,22,8,0,0
26,3,34.000000,8,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
27,3,37.000000,8,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
28,3,37.000000,9,0.000000,34.000000,0.000000,34.000000,4,8,4,0,0,0
29,3,37.000000,10,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
30,3,40.000000,10,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
31,3,42.000000,10,0.000000,34.000000,0.000000,34.000000,7,18,7,0,0,0
32,3,42.000000,11,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
33,3,42.000000,12,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
34,3,44.000000,12,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
35,3,45.000000,12,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
36,3,45.000000,13,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
37,3,45.000000,14,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
38,3,46.000000,14,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
39,3,46.000000,15,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
40,4,46.000000,16,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
41,4,48.000000,16,0.000000,34.000000,0.000000,34.000000,12,39,23,12,0,0
42,4,49.000000,16,0.000000,34.000000,0.000000,34.000000,0,0,0,0,0,0
43,4,50.000000,16,6.000000,40.000000,6.000000,40.000000,18,67,38,18,0,0
44,5,52.000000,16,0.000000,40.000000,0.000000,40.000000,0,0,0,0,0,0
45,5,54.000000,16,1.000000,41.000000,1.000000,41.000000,12,43,25,12,0,0
46,5,55.000000,16,0.000000,41.000000,0.000000,41.000000,0,0,0,0,0,0
47,5,57.000000,16,0.000000,41.000000,0.000000,41.000000,0,0,0,0,0,0
48,5,59.000000,16,0.000000,41.000000,0.000000,41.000000,0,0,0,0,0,0
49,5,61.000000,16,6.000000,47.000000,6.000000,47.000000,10,36,28,10,0,0
50,5,64.000000,16,0.000000,47.000000,0.000000,47.000000,7,17,7,0,0,0
51,5,67.000000,16,0.000000,47.000000,0.000000,47.000000,0,0,0,0,0,0
52,5,70.000000,16,1.000000,48.000000,1.000000,48.000000,7,16,7,0,0,0
53,5,73.000000,16,0.000000,48.000000,0.000000,48.000000,9,22,11,1,0,0
54,5,76.000000,16,0.000000,48.000000,0.000000,48.000000,9,23,11,1,0,0
55,5,77.000000,16,0.000000,48.000000,0.000000,48.000000,12,35,14,1,0,0
56,5,77.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
57,5,79.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
58,5,81.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
59,5,82.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
60,5,83.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
61,5,84.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
62,5,85.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
63,5,86.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
64,5,87.000000,17,0.000000,48.000000,0.000000,48.000000,0,0,0,0,0,0
65,5,88.000000,17,5.000000,53.000000,5.000000,53.000000,12,49,33,12,0,0
66,5,89.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
67,6,90.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
68,7,92.000000,17,0.000000,53.000000,0.000000,53.000000,20,54,34,19,0,0
69,7,94.000000,17,0.000000,53.000000,0.000000,53.000000,16,57,29,16,0,0
70,7,95.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
71,7,97.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
72,7,100.000000,17,0.000000,53.000000,0.000000,53.000000,9,20,11,1,0,0
73,7,101.000000,17,0.000000,53.000000,0.000000,53.000000,9,24,11,1,0,0
74,7,102.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
75,7,105.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
76,7,107.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
77,7,109.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
78,7,111.000000,17,0.000000,53.000000,0.000000,53.000000,0,0,0,0,0,0
79,7,113.000000,17,6.000000,59.000000,6.000000,59.000000,11,43,31,11,0,0
80,7,115.000000,17,0.000000,59.000000,0.000000,59.000000,0,0,0,0,0,0
81,7,117.000000,17,0.000000,59.000000,0.000000,59.000000,0,0,0,0,0,0
82,7,118.000000,17,0.000000,59.000000,0.000000,59.000000,0,0,0,0,0,0
83,7,119.000000,17,0.000000,59.000000,0.000000,59.000000,0,0,0,0,0,0
84,7,121.000000,17,1.000000,60.000000,1.000000,60.000000,0,0,0,0,0,0
85,8,122.000000,17,0.000000,60.000000,0.000000,60.000000,0,0,0,0,0,0
86,8,124.000000,17,0.000000,60.000000,0.000000,60.000000,18,73,34,18,0,0
87,8,125.000000,17,0.000000,60.000000,0.000000,60.000000,0,0,0,0,0,0
88,8,126.000000,17,0.000000,60.000000,0.000000,60.000000,0,0,0,0,0,0
89,8,129.000000,17,7.000000,67.000000,7.000000,67.000000,24,97,45,24,0,0
90,8,131.000000,17,0.000000,67.000000,0.000000,67.000000,0,0,0,0,0,0
91,8,132.000000,17,0.000000,67.000000,0.000000,67.000000,0,0,0,0,0,0
92,8,133.000000,17,1.000000,68.000000,1.000000,68.000000,0,0,0,0,0,0
93,8,135.000000,17,0.000000,68.000000,0.000000,68.000000,0,0,0,0,0,0
94,8,136.000000,17,0.000000,68.000000,0.000000,68.000000,0,0,0,0,0,0
95,8,137.000000,17,0.000000,68.000000,0.000000,68.000000,5,14,5,0,0,0
96,8,139.000000,17,0.000000,68.000000,0.000000,68.000000,11,30,11,0,0,0
97,8,141.000000,17,0.000000,68.000000,0.000000,68.000000,0,0,0,0,0,0
98,8,143.000000,17,0.000000,68.000000,0.000000,68.000000,6,16,6,0,0,0
99,9,145.000000,17,0.000000,68.000000,0.000000,68.000000,7,19,7,0,0,0
100,9,148.000000,17,0.000000,68.000000,0.000000,68.000000,27,91,41,18,0,0
101,9,150.000000,17,0.000000,68.000000,0.000000,68.000000,9,22,9,0,0,0
102,9,152.000000,17,0.000000,68.000000,0.000000,68.000000,12,35,14,1,0,0
103,9,155.000000,17,1.000000,69.000000,1.000000,69.000000,11,34,13,1,0,0
104,9,156.000000,17,0.000000,69.000000,0.000000,69.000000,15,46,17,1,0,0
105,9,157.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
106,9,160.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
107,9,162.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
108,9,164.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
109,9,166.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
110,9,168.000000,17,0.000000,69.000000,0.000000,69.000000,0,0,0,0,0,0
111,9,170.000000,17,6.000000,75.000000,6.000000,75.000000,13,57,37,13,0,0
112,9,172.000000,17,0.000000,75.000000,0.000000,75.000000,0,0,0,0,0,0
113,9,174.000000,17,0.000000,75.000000,0.000000,75.000000,0,0,0,0,0,0
114,9,176.000000,17,0.000000,75.000000,0.000000,75.000000,0,0,0,0,0,0
115,9,178.000000,17,0.000000,75.000000,0.000000,75.000000,0,0,0,0,0,0
116,10,180.000000,17,0.000000,75.000000,0.000000,75.000000,0,0,0,0,0,0
117,10,183.000000,17,3.000000,78.000000,3.000000,78.000000,39,145,81,39,0,0
118,10,185.000000,17,0.000000,78.000000,0.000000,78.000000,0,0,0,0,0,0
119,10,187.000000,17,1.000000,79.000000,1.000000,79.000000,0,0,0,0,0,0
120,10,190.000000,17,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
121,10,192.000000,17,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
122,10,194.000000,17,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
123,10,197.000000,17,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
124,10,199.000000,17,0.000000,79.000000,0.000000,79.000000,7,18,7,0,0,0
125,10,201.000000,17,0.000000,79.000000,0.000000,79.000000,12,29,12,0,0,0
126,10,203.000000,17,0.000000,79.000000,0.000000,79.000000,9,24,9,0,0,0
127,10,205.000000,17,0.000000,79.000000,0.000000,79.000000,11,29,13,1,0,0
128,10,205.000000,18,0.000000,79.000000,0.000000,79.000000,12,35,14,1,0,0
129,10,205.000000,19,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
130,10,207.000000,19,0.000000,79.000000,0.000000,79.000000,0,0,0,0,0,0
131,10,208.000000,19,1.000000,80.000000,1.000000,80.000000,0,0,0,0,0,0
132,10,209.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
133,11,210.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
134,11,212.000000,19,0.000000,80.000000,0.000000,80.000000,22,84,38,22,0,0
135,11,213.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
136,11,214.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
137,11,216.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
138,11,218.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
139,11,220.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
140,12,221.000000,19,0.000000,80.000000,0.000000,80.000000,0,0,0,0,0,0
141,12,223.000000,19,1.000000,81.000000,1.000000,81.000000,24,105,43,24,0,0
142,12,225.000000,19,0.000000,81.000000,0.000000,81.000000,0,0,0,0,0,0
143,12,226.000000,19,0.000000,81.000000,0.000000,81.000000,0,0,0,0,0,0
144,12,228.000000,19,0.000000,81.000000,0.000000,81.000000,0,0,0,0,0,0
145,12,231.000000,19,0.000000,81.000000,0.000000,81.000000,0,0,0,0,0,0
146,12,234.000000,19,0.000000,81.000000,0.000000,81.000000,0,0,0,0,0,0
147,12,237.000000,19,7.000000,88.000000,7.000000,88.000000,42,177,88,42,0,0
148,12,240.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
149,12,242.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
150,12,244.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
151,12,247.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
152,12,249.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
153,12,251.000000,19,0.000000,88.000000,0.000000,88.000000,5,15,5,0,0,0
154,12,254.000000,19,0.000000,88.000000,0.000000,88.000000,14,49,14,0,0,0
155,12,257.000000,19,0.000000,88.000000,0.000000,88.000000,0,0,0,0,0,0
156,12,260.000000,19,0.000000,88.000000,0.000000,88.000000,6,18,6,0,0,0
157,12,263.000000,19,0.000000,88.000000,0.000000,88.000000,7,22,7,0,0,0
158,12,265.000000,19,1.000000,89.000000,1.000000,89.000000,9,27,9,0,0,0
159,12,267.000000,19,0.000000,89.000000,0.000000,89.000000,9,26,9,0,0,0
160,12,270.000000,19,0.000000,89.000000,0.000000,89.000000,11,30,11,0,0,0
